Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Negative Talking Points	Positive Talking Points	Category	Archetypes
Evel Knievel	Evel Knievel	male	Butte	Montana	USA				performing motorcycle stunts, jumping over buses on motorbikes	1967 Triumph motorcycle	motorcycle chain	jumpsuit, cape	Motorcycle stunts	stunts		George Hamilton					reckless, foolhardy, boastful	daring, intrepid, brave, exciting, entertaining	Stuntman, Performer, Motorcyclist, Daredevil	
Federico Fellini	Federico Fellini	male		Rimini	Italy	left			making new wave movies, making Italian movies	Alfa Romeo Giulia GTA	gelato scoop		Italian Neo-realism	movies				Amarcord			self-indulgent, overly-personal, long-winded	stylish, urbane, witty, artful, creative, baroque, fanciful, extravagant	Director, Writer	
Fidel Castro	Fidel Castro	male		Havana	Cuba	left		Fulgencio Batista	running a dictatorship, promoting socialism,	ZIL-111 convertible	Cuban cigar cutter, exploding cigars	military fatigues	Cuban politics, the Cuban revolution, Cuba	politics, history		Demian Bichir		The Cuban Revolution	Communist Party of Cuba		authoritarian, autocratic	revolutionary, zealous, impassioned	Politician, Revolutionary, Political Leader	
Flash Gordon	Flash Gordon	male			Mongo		dating Dale Arden	Ming the Merciless	fighting for justice, defending the Earth	war rocket Ajax	ray gun	basketball jersey	Flash Gordon	science fiction	fictional	Sam Jones, Buster Crabbe	Alex Raymond			The Adventures of Flash Gordon	selfrighteous, earnest, moralistic	square-jawed, athletic, handsome, heroic, clean-cut, dashing, daring, intrepid	Astronaut, Hero	
Florence Nightingale	Florence Nightingale	female	Villa Colombaia	Florence	Italy				treating the sick, treating the injured	horse-drawn carriage	bed pan	pinafore	the Crimean War, Victorian medicine	warfare, history, medicine				Nightingale Training School			selfrighteous, earnest, moralistic	kind, caring, nurturing, sympathetic	Nurse, Campaigner, Statistician	
Forrest Gump	Forrest Gump	male	Greenbow	Alabama	USA		married to Jenny Gump		fishing for shrimps, eating a box of chocolates	shrimping boat "Jenny"	shrimp skewer	running shoes	Greenbow Alabama, the American South	politics, history, culture	fictional	Tom Hanks	Winston Groom	Bubba Gump	Bubba Gump	Forrest Gump	foolish, silly, gullible, slow, naïve	kind, big-hearted, caring, athletic, friendly, affable, talkative	Fool, Athlete, Soldier, Wanderer	Foo
Francis Bacon	Francis Bacon	male	Soho	London	UK				painting dark pictures		bacon slicer		Expressionist art, Expressionist painting	art,							twisted, disturbing, dark sinister, creepy, troubling, baffling, reviled	artistic, distinctive, bold	Artist, Painter	
Francis Crick	Francis Crick	male		Cambridge	UK		married		studying genetics, modeling DNA,		double-barrelled helix		Biology, DNA, The Double Helix, Genetics	science				DNA		The Double Helix	immodest	insightful, brilliant, clever, persistent	Scientist, Pioneer	
Frank Capra	Frank Capra	male	La Quinta	California	USA	right	married		making idealistic movies				It's a Wonderful Life, Hollywood,	movies				It's A Wonderful Life,			naïve, unrealistic, overly-sentimental	idealistic, sentimental, optimistic, individualist	Director, Writer	
Frank Columbo	Frank Columbo	male	Los Angeles	California	USA		married to Mrs. Columbo		solving crimes, pursuing criminals, tricking criminals, extracting confessions	1959 Peugeot convertible	cigar smoke, probing questions	shabby raincoat, rumpled trenchcoat	Detective fiction	television	fictional	Peter Falk	William Link			The Columbo Mysteries	scruffy, dishevelled, annoying, irritating, rumpled	shrewd, observant, clever, persistent, tenacious, intelligent	Detective	
Frank Gehry	Frank Gehry	male		Toronto	Canada			Daniel Libeskind	designing modern buildings	imaginary concept car	T square,		American architecture, Modern architecture,	architecture				Bilbao Guggenheim Museum			wasteful, crude, repetitive, rumpled, intrusive	original, innovative, unorthodox	Architect	
Frank Lloyd Wright	Frank Lloyd-Wright	male	Taliesin	Arizona	USA				designing modern buildings	Mercedes 300 SL	T square,		American architecture, Modern architecture,	architecture				Unity Temple, Guggenheim Museum			self-regarding, selfish	original, innovative, unorthodox, colorful	Architect	
Frank Sinatra	Frank Sinatra	male	Hoboken	New Jersey	USA	right	divorced from Mia Farrow, married to Mia Farrow, divorced from Ava Gardner, married to Ava Gardner	Bing Crosby, Tony Bennet	singing middle-of-the-road songs, crooning love songs, recording pop songs, starring in romantic comedies	Jaguar XJS	mob connections	zoot suit	Easy Listening, the Rat Pack	singing, music, movies				The Rat Pack, My Way	The Rat Pack		bipolar, aggressive, vindictive,	tuneful, swinging, talented, angel-voiced, pitch-perfect	Singer, Actor, Crooner	
Frank Zappa	Frank Zappa	male	Los Angeles	California	USA	left	married	Lou Reed	singing experimental songs, writing experimental songs	six-cylinder Henry J	zap gun		Experimental music	music, singing				The Mothers of Invention			strident, weird	iconoclastic, unorthodox, experimental, eclectic, humorous	Singer, Composer	
Franz Liszt	Franz Liszt	male		Raiding	Austria		single		playing classical piano	horse-drawn carriage	exploding metronome, sharpened tuning fork		Classical music, Piano music	music				Hungarian Rhapsodies			impetuous, impulsive, vain, hair-obsessed	prolific, vibrant, energetic, passionate, handsome, virtuosic, nimble-fingered	Composer, Pianist	
Fred Astaire	Fred Astaire	male	Beverly Hills, Hollywood	California	USA	left	dating Ginger Rogers	Gene Kelly	starring in romantic comedies, starring in musical comedies, starring in Hollywood movies, enjoying ball-room dancing	750 Monza spider, 1927 Bugatti Type 40	fancy footwork	tuxedo	Dancing, Hollywood	movies, singing, music							big-eared	graceful, limber, elegant, nimble, stylish, dapper	Dancer, Actor, Singer	
Fredo Corleone	Fredo Corleone	male	Long Beach	New York	USA	right	married	Michael Corleone	disappointing the family, complaining about big brother	Packard Executive Sedan	mob connections	sports jacket	The Godfather	crime	fictional	John Cazale	Mario Puzo		The Corleone Family, The Mafia	The Godfather	foolish, silly, gullible, slow, naïve, jealous, bitter, disloyal, weak, insecure	affable, entertaining, cheery, good-hearted	Fool, Son, Criminal	Edh, Wes
Garry Kasparov	Garry Kasparov	male		Baku	Azerbaijan			Vladimir Putin	playing aggressive chess		queen's gambit	polo neck	Chess	sport							aggressive, arrogant	logical, methodical, rational, strategic, competitive	Chess Player, Campaigner, Dissident	
Garry Trudeau	Garry Trudeau	male	Manhattan	New York City	USA	left			drawing political cartoons		sharpened pencil		Doonesbury, Political Cartoons	cartoons, politics				Doonesbury	Doonesbury		bland, inoffensive, wonkish	witty, humorous, eloquent, artistic, politically-savvy	Writer, Comedian, Cartoonist, Humorist	
Garth Brooks	Garth Brooks	male	Nashville	Tennessee	USA	right	married		singing country music	Ford F-150 truck	steel-capped cowboy boots	cowboy hat, cowboy boots	Country music	music, singing				Friends in Low Places			corny, cheesy, cliched, sentimental, sappy, trite	tuneful, melodic, catchy, upbeat, charming	Country Singer, Singer, Cowboy	
Gary Larson	Gary Larson	male	Tacoma	Washington State	USA	left			drawing whimsical cartoons				Apolitical Cartoons, The Far Side	cartoons				The Far Side			twee, inoffensive, unchallenging	witty, humorous, funny, inventive	Writer, Comedian, Cartoonist, Humorist	
Genghis Khan	Genghis Khan	male		Ulan Bator	Mongolia	right			running an empire	sedan chair	scimitar	fur cap, furry ear flaps, felt boots	the Mongols, Mongolia	politics, history, culture		John Wayne		The Mongol Empire	The Mongol Horde		cruel, rapacious, sadistic, aggressive, mean, imperious,, violent, brutal, power-hungry	powerful, commanding, tough	Emperor, Conqueror	Bad
George Bernard Shaw	George Bernard-Shaw	male	Belgravia	London	UK	left	married	Winston Churchill	promoting liberalism, writing plays	horse-drawn carriage	caustic put-downs	starched collar, top hat, Astrakhan coat	British theatre, Victorian literature	theatre, literature				Man and Superman, Pygmalion			polemical, argumentative	witty, humorous, eloquent, literate, ironic	Writer, Novelist, Playwright, Campaigner	
George Clooney	George Clooney	male	Beverly Hills, Hollywood	California	USA	left	single		starring in Hollywood movies, starring in indy movies, womanizing, promoting political causes	Tesla Roadster	unctious charm	sharp suit, polo neck	Hollywood, Acting	movies					Ocean's 11		selfrighteous, earnest, pious, bland	handsome, charming, affable, rugged	Actor, Director, Campaigner	
George Costanza	George Costanza	male	Upper East Side	New York City	USA		single		complaining about life	1983 Chrysler LeBaron convertible	Festivus pole	big-boy jeans	The Seinfeld Chronicles, Comedy	comedy, television	fictional	Jason Alexander	Jerry Seinfeld, Larry David	Vandelay Industries		Seinfeld	argumentative, neurotic, self-loathing, stingy, selfish, dishonest, insecure	loyal, modest	Fool, Friend	Scr, Wes
George Foreman	George Foreman	male	Houston	Texas	USA			Muhammad Ali	winning heavyweight titles, knocking out opponents, winning boxing matches	1970 Dodge Swinger	hot grill	boxing shorts	Boxing	sport				The George Foreman Grill			rope-a-dopey	strong, athletic, avuncular, business-savvy	Boxer, Businessman	
George Harrison	George Harrison	male		Liverpool	UK	left			playing guitar, singing pop songs	Yellow Submarine	yogic hopping	hippy shirt	The Beatles, Pop music	music, singing				Free as a Bird, Here Comes the Sun	The Beatles		bland, tepid, naïve, mysticism-peddling	melodic, tuneful, spiritual	Rock Singer, Guitarist	
George Orwell	George Orwell	male		London	UK	left	married	Big Brother	promoting liberalism, warning about totalitarianism, writing political tracts, writing polemics	1930 Rudge Whithworth motorcycle	Room 101	staid suit	Dystopian fiction,	literature				1984			pessimistic, schoolmasterish, gloomy	literate, erudite, lucid, progressive	Writer, Novelist, Campaigner, Reporter	
George Soros	George Soros	male		Budapest	Hungary	right	married	Glenn Beck, Bill O'Reilly	managing hedge funds, making billions	armored Rolls Royce	hedge fund trimmer	business suit	Hedge Funds, Speculation	business				The Quantum Fund			predatory, ruthless, opportunistic, greedy	rich, privileged, wealthy, powerful, wealthy, business-savvy	Billionaire, Investor, Speculator	
George W. Bush	George Bush	male	Crawford	Texas	USA	right	married to Laura Bush	Al Gore, John Kerry, Osama Bin Laden	launching foreign wars	Ford F-150 truck	family connections	cowboy hat, Stetson, cowboy boots	the Right, the Republicans, American politics	politics, history, culture		Johh Brolin		The Bush Doctrine	The Republican Party, Neo-Conservatism		dumb, inarticulate, shallow, unthinking, inarticulate, over-zealous	affable, entertaining, cheery, good-hearted, folksy	Politician, President, Political Leader	
George Washington	George Washington	male	Mount Vernon	Virginia	USA	right	married to Martha Washington	Benedict Arnold	leading revolutions, fighting for liberty	horse-drawn carriage	wooden dentures	redcoat	the American War of Independence	politics, history, culture		David Morse					condescending, snooty, humorless,	inspiring, charismatic, strategic, farseeing, athletic, tall	General, President, Political Leader, General	
Gerard Manley Hopkins	Gerard Manley-Hopkins	male	Stratford	London	USA	left	single		writing modern poetry		sprung rhythm		Poetry, Sprung Rhyme	poetry				Sprung Rhyme			tortured, anxious, guilt-wracked	poetic, lyrical, innovative, experimental	Poet	
Glenn Beck	Glenn Beck	male	New Canaan	Connecticut	USA	right		George Soros	promoting conservative values, ranting about liberals	Cadillac gas-guzzler	anti-logic		the Right, the Republicans, American politics, Fox News	politics, culture				The Glenn Beck Radio Program	FOX News		incendiary, rabble-rousing, demagogic, conspiracy-addled	patriotic, libertarian, fiery	Pundit, Campaigner, TV Host, Radio Host	
Gloria Steinem	Gloria Steinem	female	Manhattan	New York City	USA	left		Betty Friedan	promoting feminism, moaning about men	New York taxicab	pepper spray, Taser gun, knee kick	miniskirt	Feminism, the Woman's movement	politics, culture				Ms. Magazine, Women's Action Alliance	National Organization of Women		strident, pushy	passionate, progressive	Campaigner, Feminist, Writer	
Mikhail Gorbachev	Mikhail Gorbachev	male		Moscow	Russia	left	married	Boris Yeltsin	coasting on past glories	ZIL-111 convertible	KGB poison umbrella	sable hat	the Soviet Union, the Cold War	politics, history, culture				Perestroika, Glasnost	The U.S.S.R., The Communist Party			radical, reforming, progressive	Politician, President, Political Leader	
Gordon Ramsay	Gordon Ramsay	male	Chelsea	London	UK		married	Marco Pierre White	cursing at kitchen staff, winning Michelin stars, cooking fancy food	Ferrari 458 Italia	kitchen cleaver	kitchen whites	Cooking, the Kitchen, Haute Cuisine	television, cooking				Hell's Kitchen, Kitchen Nightmares			foul-mouthed, vulgar, profane, aggressive, pushy, bossy, arrogant	creative, artful, masterful, accomplished, capable	Chef, Restauranteur, TV Host	
Grace Kelly	Grace Kelly	female	Monte Carlo	Monaco	France		married to Prince Rainier		dining with playboy princes, starring in Hollywood movies, starring in romantic comedies	Rover P6 3500V8	pearl bolas	ball gown	Hollywood, Acting, Monacco	movies							vapid, bland, shallow	beautiful, graceful, elegant, pretty, regal	Actress, Princess	
Greta Garbo	Greta Garbo	female		Stockholm	Sweden		single	Marlene Dietrich	starring in Hollywood movies,	1933 Duesenberg J Victoria	Ninotchka nunchucks	little black dress	Hollywood, Acting	movies							taciturn, silent, reclusive, moody	enigmatic, beautiful, mysterious	Actress, Recluse	
Groucho Marx	Groucho Marx	male	Beverly Hills, Hollywood	California	USA		married		starring in madcap comedies,	1954 Desoto Plymouth	exploding cigars	fake moustache, funny glasses, shabby suit	Hollywood, Comedy, The Marx Brothers	movies, television, comedy				The Marx Brothers	The Marx Brothers		offensive, obnoxious, insensitive, outrageous	witty, entertaining, zany, humorous	Comedian, Host, Writer, Actor	
Gwyneth Paltrow	Gwyneth Paltrow	female	Kensington	London	UK	left	divorced from Chris Martin	Martha Stewart	running a new-age website, starring in Hollywood movies, raising new-age children, picking weird children names	Prius, BMW X5	selfrighteous preaching	little black dress	Hollywood, Acting	movies				GOOP Website, GOOP clothing			twee, inspid, bland, pretentious	pretty, attractive, slim	Actress	
H.P. Lovecraft	Howard Lovecraft	male	Providence	Rhode Island	USA	right	single		writing purple prose, writing horror stories, writing for pulp magazines		purple prose	tweed jacket	Horror fiction	literature, horror				The Call of Cthulhu			dark, pessimistic, misanthropic, xenophobic	engrossing, inventive, imaginative,	Writer	
Han Solo	Han Solo	male			Corellia	libertarian	dating Princess Leia	Jabba the Hutt	piloting the Millenium Falcon, doing the Kessel run, smuggling contraband, fighting for the rebel alliance	Millenium Falcon	laser blaster, laser cannon	gun belt, black vest, black riding boots	Star Wars	science fiction	fictional	Harrison Ford	George Lucas		The Rebel Alliance	Star Wars, The Empire Strikes Back, Return of the Jedi	reckless, sarcastic, materialistic, cynical	heroic, dashing, daring, intrepid, brave	Hero, Smuggler, Rebel	Cap, Lrg
Jabba the Hutt	Jabba Hutt	male		Northern Dune Sea	Tatooine	libertarian	pursuing Princess Leia	Han Solo	running a crime family, running a smuggling business	Khetanna sail barge	halitosis		Star Wars	science fiction	fictional		George Lucas			Star Wars, The Empire Strikes Back, Return of the Jedi	fat, disgusting, gelatinous, corpulent, ruthless, disgusting, ugly, flabby, cruel	cunning, crafty, shrewd, powerful	Crimeboss, Villain	Chs, Cce
Hannibal Lecter	Hannibal Lecter	male			Lithuania	right, libertarian	single	Will Graham,	eating census takers, eluding FBI profilers, eating people	Bentley Arnage T	scalpel, carving knife, melon baller	hard plastic mask, guard's face	Detective fiction, Horror fiction	literature, horror, crime	fictional	Anthony Hopkins	Thomas Harris	Liver and Fava beans		Silence of the Lambs	cruel, ruthless, cannabalistic, sadistic, cold, sinister, creepy	intelligent, smart, insightful, urbane, cunning, brilliant, witty, charming	Serial Killer, Psychiatrist, Cannibal	Mpb, Chs, Mad
Harry Houdini	Harry Houdini	male		Budapest	Hungary	right	married	Arthur Conan Doyle	escaping from handcuffs, escaping from water tanks,	914 Packard 2-38 Touring car	Chinese water-torture cell	chains, manacles	Escapology, Stage Magic	magic		Tony Curtis		The Chinese Water Torture Cell			egotistical, short, mother-obsessed	dexterous, cunning, agile, nimble, strong, clever, shrewd	Escapologist, Magician	
Harry Potter	Harry Potter	male	Hogwarts	Scotland	UK	left	single	Draco Malfoy, Lord Voldemort	performing magic tricks, studying magic tricks, playing quidditch	Nimbus 2000 broomstick	magic wand	Hogwarts uniform, black robe, black pointed hat	Hogwarts, Teen fiction	literature, magic	fictional	Daniel Radcliffe	J. K. Rowling		The Order of the Phoenix, Hogwarts	The Philosopher's Stone, The Chamber of Secrets, The Goblet of Fire, The Deadly Hallows, The Order of the Phoenix, The Prisoner of Azkhaban	nerdy, weedy, orphaned	honest, decent, loyal, studious	Magician, Wizard, Schoolkid, Student	
Lord Voldemort	Tom Voldemort	male	Hogwarts	Scotland	UK	right	dating Merope Gaunt	Harry Potter, Albus Dumbledore	devising evil schemes, striving for world domination, meddling in the dark arts, tormenting muggles	Floo powder	magic wand of Yew wood	large black robe	Hogwarts, Teen fiction	literature, magic	fictional	Ralph Fiennes	J. K. Rowling	The Horcrux	The Death Eaters	The Philosopher's Stone, The Chamber of Secrets, The Goblet of Fire, The Deadly Hallows, The Order of the Phoenix, The Prisoner of Azkhaban	self-hating, evil, malevolent, cruel, power-hungry, hateful, ugly, flat-faced, bitter, malicious, sadistic, murderous, cursed, tyrannical, psychopathic, bald, arrogant	powerful, skilled, commanding, intelligent	Wizard, Magician, Villain, Psychopath, Necromancer	Bad, Mpb, Chs, 4te, Pmd, Mad
Albus Dumbledore	Albus Dumbledore	male	Hogwarts	Scotland	UK	left	dating Gellert Grindelwald	Lord Voldemort	performing magic tricks, studying magic tricks, teaching magic, running a school for gifted teens, teaching the next generation	Floo powder	the Elder Wand, the Deathstick	half-moon spectacles, colorful robe, tassel hat	Hogwarts, Teen fiction	literature, magic	fictional	Richard Harris, Michael Gambon	J. K. Rowling		The Order of the Phoenix, Hogwarts	The Philosopher's Stone, The Chamber of Secrets, The Goblet of Fire, The Deadly Hallows, The Order of the Phoenix, The Prisoner of Azkhaban	effeminate, eccentric, kooky, Machiavellian	honest, serene, benevolent, wise, powerful, loving, inspiring, inspirational, cunning, whimsical, skilled, accomplished, perceptive	Wizard, Magician, Professor, Teacher	Dbd
Heath Ledger	Heath Ledger	male	Brokeback Mountain		USA		dating Michelle Williams		starring in Hollywood movies,	Jokermobile	prescription drugs	purple suit	Hollywood, Acting	movies							drug-addled, tragic, reckless	talented, compelling, entertaining, versatile, convincing	Actor	
Helen Keller	Helen Keller	female	Tuscumbia	Alabama	USA		single		reading braille, avoiding eye contact	horse-drawn carriage	white cane	bustle	American education	education		Patty Duke					blind, deaf, dumb, handicapped	resolute, determined, capable, resourceful, courageous, tenacious, fearless	Role Model, Campaigner	
Henry Ford	Henry Ford	male	Dearborn	Michigan	USA	right	married	Alfred P. Sloan	mass-producing cars, running assembly lines, making cars	Ford Model T	model-T-100 Terminator	black business suit	the Motor industry, the Car industry	business				Ford Motor Company	Ford Motor Company		antisemitic	industrious, innovative, productive, successful, visionary, practical	Businessman, Industrialist	
Henry James	Henry James	male	Manhattan	New York City	USA				writing modern fiction	horse-drawn carriage	modernistic prose	wing collar, top hat, Astrakhan coat	American literature	literature				Washington Square			long-winded, stuttering	literary, realistic,	Writer, Novelist, Playwright	
Henry Kissinger	Henry Kissinger	male		Fürth	Germany	right		Christopher Hitchens	brokering peace deals	armored towncar	ruthless ambition	tweed jacket	the Right, the Republicans, American politics	politics, history, culture				The Paris Peace Accord			conniving, cynical, manipulative, Machiavellian	shrewd, clever, witty, strategic	Politician, Advisor	
Henry Miller	Henry Miller	male	Yorkville	New York City	USA	left, libertarian			writing erotic fiction	streetcar	iron dildo		American literature	literature		Fred Ward		Tropic of Cancer			surreal, sex-mad, lewd	experimental, explicit, expressive, mystical	Writer, Novelist	
Hercule Poirot	Hercule Poirot	male		London	UK		single		solving crimes, pursuing criminals, tricking criminals, extracting confessions	1931 Lagonda	little grey cells	Homburg, bow tie, wing collar	Detective fiction, Drawing room mysteries	literature	fictional	David Suchet, Peter Ustinov	Agatha Christie			Agatha Christie's Mysteries	preening, effete, vain, dandified, foppish	clever, insightful, shrewd, inquisitive, observant, dignified, fastidious, pernickety	Detective, Foreigner, Private Detective	
Hillary Clinton	Hillary Clinton	female	Chappaqua	New York	USA	left	married to Bill Clinton	Barack Obama, Monica Lewinsky	running for the senate, campaigning for the presidency, frowning at errant husbands, tolerating adultery	armored towncar	ruthless ambition	pant suit	American politics, the Left, the Democrats	politics, culture					The Democratic Party		polarizing, controversial, bossy, grasping	capable, driven, ambitious,	Politician, First Lady	
Homer	Homer	male			Greece				writing epic poetry, telling epic tales	sedan chair	Homeric similes	toga	Ancient Greece, the Ancient world	poetry, literature				The Illiad, The Odyssey			blind	poetic, lyrical, compelling, classical	Poet	
Homer Simpson	Homer Simpson	male	Springfield		USA		married to Marge Simpson	Ned Flanders	eating donuts, avoiding work, working with nuclear materials, drinking Duff beer	pink sedan	nuclear waste,	tie with a short-sleeved shirt, extra-wide pants	The Simpsons, Springfield	cartoons	fictional	Dan Castellaneta	Matt Groening	Be-Sharps Barbershop quartet	The Simpsons Family, Be-Sharps Barbershop quartet, Team Homer	The Simpsons	dumb, stupid, insensitive, boorish, oafish, lazy, fat, thoughtless	fatherly, loving, loveable	Father, Fool	Scr
Howard Hughes	Howard Hughes	male	Houston	Texas	USA	right	single	Juan Trippe	running an empire, building airplanes, running a movie studio, hiding from the public	1936 Lincoln V-12 Model K Aero Mobile	spruce goose, foot-long fingernails	Kleenex boxes as shoes	the Aviation industry, the Movie business	business		Leonardo DiCaprio		The Spruce Goose	The Howard Hughes Corporation, RKO Pictures		obsessive, reclusive, crazy, antisocial, controlling, compulsive, daffy	rich, adventurous,wealthy,	Billionaire, Philanthropist, Aviator, Recluse	
Howard Stern	Howard Stern	male	Manhattan	New York City	USA	left	divorced	Don Imus, Rush Limbaugh	shocking radio listeners, hosting radio shows	pimpmobile	foul-mouthed rant		Talk radio	radio				The Howard Stern Show	Sirius XM Radio		shocking, rude, vulgar, crass, crude	entertaining, witty, attention-grabbing	Radio Personality, Radio Host	
Hugh Grant	Hugh Grant	male	Notting Hill	London	USA	left	dating Jemima Khan		starring in romantic comedies	Aston Martin Vanquish	self-effacing charm	tweed jacket	Hollywood, Acting, Comedy	movies, comedy							bumbling, bland, sappy	attractive, handsome, polite, charming, charismatic, modest, kind	Actor	
Hugh Hefner	Hugh Hefner	male	Playboy Mansion	Los Angeles	USA	libertarian	single	Larry Flynt	publishing soft pornography, dating centrefolds, popping Viagra	1961 Mercedes Benz 300SL Roadster	big bazookas	smoking jacket	Playboy Magazine, Soft pornography	publishing, pornography				Playboy Magazine	Playboy		vulgar, libidinous, sex-crazed, Viagra-guzzling, exploitative, over-the-hill, sexist, lecherous, hedonistic	charming, avuncular, engaging, free-spirited, charismatic, liberal	Publisher, Pornographer, Playboy	
Hugh Jackman	Hugh Jackman	male		Sydney	Australia		married		starring in Hollywood movies,	Audi R8 Spyder	retractable Adamantium claws	brushed-back hair	Acting, Movies, Singing, Hollywood, Australia	movies, singing,							camp, muscle-bound, meat-headed	muscular, well-built, athletic, handsome, strong, toned	Actor, Singer	
Hulk Hogan	Hulk Hogan	male	Clearwater	Florida	USA	right		Jesse Ventura	pretending to wrestle, pretending to fight	1968 Dodge Challenger	head lock, 'roid rage	red and yellow tights, bandana	Wrestling	sport					WWF		lunk-headed, meat-headed, dim, dull	muscular, well-built, athletic, agile, strong, nimble	Wrestler, Strongman	
Humphrey Bogart	Humphrey Bogart	male	Beverly Hills, Hollywood	California	USA		married to Lauren Bacall	Jimmy Cagney	starring in Hollywood movies, playing tough guys	1940 Buick phaeton	mobster's gat, mobster's heater	trench coat, Fedora	Hollywood, Acting	movies							cynical, sarcastic, world-weary	tough, hard-boiled, charismatic, witty	Actor	
Imelda Marcos	Imelda Marcos	female		Manila	Philippines	right	married to Ferdinand Marcos		shopping for shoes, collecting shoes	gold-plated Rolls Royce	sharpened stiletto heel, pepper spray	ever-changing shoes	the Phllippines	politics, culture							mean-spirited, cruel, insensitive, covetous	rich, wealthy	Wife, Tyrant	
Indiana Jones	Indiana Jones	male	New Haven	Connecticut	USA	left	dating Marion Ravenwood	René Emile Belloq	looking for hidden treasures, punching out Nazis, digging for antiquities, unearthing ancient tombs	Softail Springer motorbike	whip, revolver, Sankara stones, Ark of the Covenant	Fedora, leather jacket, khakis	Raiders of the Lost Ark, Archeology	archeology, exploration	fictional	Harrison Ford	George Lucas			Raiders of the Lost Ark	hard-boiled, cynical, reckless, restless	scholarly, educated, adventurous, intrepid, daring, dashing, tough, indomitable	Explorer, Adventurer, Archeologist, Professor	H, Lrg
Jack Bauer	Jack Bauer	male	Los Angeles	California	USA	right	widowed		chasing terrorists, punishing terrorists, tracking down terrorists, preventing terrorism	black Chrysler SUV	SIG Sauer P228		24, American Counter-Terrorism	television	fictional	Keifer Sutherland	Joel Surnow		The CTU	24	ruthless, unscrupulous, brutal	tough, resilient, capable, proficient, patriotic, committed, determined	Spy, Adventurer, Hero	H, Lrg
Jack Kerouac	Jack Kerouac	male	Lowell	Massachusetts	USA	left			writing beat fiction, driving around America	1949 Hudson Commodore	On The Road-rage		the Beat generation, American literature	literature				On The Road	The Beat Generation	On the Road	alcoholic, hard-drinking, irresponsible	adventurous, spontaneous, iconoclastic, pioneering, spirited	Writer, Novelist, Poet, Wanderer	
Jack Nicholson	Jack Nicholson	male	Beverly Hills, Hollywood	California	USA	libertarian	single		starring in Hollywood movies, womanizing, starring in romantic comedies	Jokermobile	Titanium golf club	black sunglasses	Hollywood, Acting	movies							neurotic, psychopathic, volatile, hot-tempered, hedonistic	charming, charismatic, spirited, captivating, witty	Actor	
Jack The Ripper	Jack D.-Ripper	male	Whitechapel	London	USA	libertarian	single	Fred Aberline	terrorizing prostitutes, eluding authorities, slashing victims, eluding capture	horse-drawn carriage	butcher knife, scalpel	Astrakhan coat, top hat, wing collar	Victorian London, Victorian England	crime		Ian Holm			The Freemasons	From Hell	violent, vicious, predatory, murderous, bloodthirsty, rapacious, brutal, misogynistic	elusive, cunning, enigmatic	Serial Killer, Killer	4te
Jackie Chan	Jackie Chan	male		Hong Kong	China	right			starring in action movies, starring in comedies	Bentley Mulsanne	Kung Fu, bad acting	Chinese pyjamas	Hong Kong, Martial Arts	movies, stunts							silly, cheesy, guileless	skillful, graceful, balletic, nimble, entertaining, acrobatic	Actor, Martial Artist	
Jackson Pollock	Jackson Pollock	male	Springs	New York	USA		dating Lee Krasner	Clifford Still, Mark Rothko	dripping paint onto canvas, painting abstract paintings	Oldsmobile convertible	splatter gun	stripey jersey	Modern art, Abstract art, Abstract painting	art, painting		Ed Harris		Drip painting, No. 5 1948			volatile, alcoholic, moody, reclusive, chaotic	innovative, spontaneous, fluid, lively	Artist, Painter	
James Bond	James Bond	male	Mayfair	London	USA	right, libertarian	single, widowed by Theresa Bond	Auric Goldfinger, Ernst Stavro Blofeld, Dr. Julius No, Sir Hugo Drax, Le Chiffre	foiling the schemes of evil villains, shagging spies, killing for Mi6	Aston Martin Vanquish	Walther PPK	tuxedo	James Bond, Mi6, Espionage	espionage	fictional	Sean Connery, Roger Moore, Daniel Craig, Pierce Brosnan	Ian Fleming		Mi:6	Thunderball, You Only Live Twice, On Her Majesty's Secret Service, Goldfinger, Doctor No, Casino Royale, Moonraker	ruthless, cold-blooded, sadistic, lecherous, misogynistic	handsome, charming, rugged, adventurous, resilient, tough, resourceful, brave, intrepid, patriotic	Spy, Adventurer, Hero, Secret Agent	H
Auric Goldfinger	Auric Goldfinger	male	Fort Knox	Kentucky	USA	right, libertarian	single	James Bond	devising evil schemes, cheating at golf	Rolls-Royce Silver Ghost	steel-cutting laser beam, nerve gas	gold-lamé jacket	James Bond, Terrorism, Finance	crime, finance, business	fictional	Gert Fröbe	Ian Fleming		SMERSH	Goldfinger	acquisitive, greedy, ruthless, cruel, sadistic, sinister, gold-obsessed, kinky,	rich, wealthy, business-savvy	Villain, Smuggler, Criminal	Bad, Chs
